symbol,occurrences,distinct_components,host_present,components,files
App\Domains\Engine\BaseDriver,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/BaseDriver.php | host:app/Domains/Engine/BaseDriver.php
App\Domains\Engine\Concerns\HasCache,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Concerns/HasCache.php | host:app/Domains/Engine/Concerns/HasCache.php
App\Domains\Engine\Concerns\HasModel,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Concerns/HasModel.php | host:app/Domains/Engine/Concerns/HasModel.php
App\Domains\Engine\Concerns\HasStatusJsonResponse,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Concerns/HasStatusJsonResponse.php | host:app/Domains/Engine/Concerns/HasStatusJsonResponse.php
App\Domains\Engine\Contracts\EngineDriverInterface,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Contracts/EngineDriverInterface.php | host:app/Domains/Engine/Contracts/EngineDriverInterface.php
App\Domains\Engine\Contracts\WithModel,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Contracts/WithModel.php | host:app/Domains/Engine/Contracts/WithModel.php
App\Domains\Engine\Drivers\AiMlMinimaxAIEngineDriver,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Drivers/AiMlMinimaxAIEngineDriver.php | host:app/Domains/Engine/Drivers/AiMlMinimaxAIEngineDriver.php
App\Domains\Engine\Drivers\AnthropicEngineDriver,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Drivers/AnthropicEngineDriver.php | host:app/Domains/Engine/Drivers/AnthropicEngineDriver.php
App\Domains\Engine\Drivers\AzureEngineDriver,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Drivers/AzureEngineDriver.php | host:app/Domains/Engine/Drivers/AzureEngineDriver.php
App\Domains\Engine\Drivers\CaptionsEngineDriver,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Drivers/CaptionsEngineDriver.php | host:app/Domains/Engine/Drivers/CaptionsEngineDriver.php
App\Domains\Engine\Drivers\ClipDropEngineDriver,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Drivers/ClipDropEngineDriver.php | host:app/Domains/Engine/Drivers/ClipDropEngineDriver.php
App\Domains\Engine\Drivers\CreatifyEngineDriver,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Drivers/CreatifyEngineDriver.php | host:app/Domains/Engine/Drivers/CreatifyEngineDriver.php
App\Domains\Engine\Drivers\DeepSeekAIEngineDriver,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Drivers/DeepSeekAIEngineDriver.php | host:app/Domains/Engine/Drivers/DeepSeekAIEngineDriver.php
App\Domains\Engine\Drivers\ElevenlabsEngineDriver,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/Drivers/ElevenlabsEngineDriver.php | host:app/Domains/Engine/Drivers/ElevenlabsEngineDriver.php
