symbol,occurrences,distinct_components,host_present,components,files
config:2checkout,3,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/config/2checkout.php | host:app/Services/Payment/Gateways/TwoCheckoutGateway.php | host:config/2checkout.php
config:ai,2,2,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs | 09_PROPERTY_JOBS_AND_DISPATCH/Dispatch,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Config/ai.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/Dispatch/Dispatch/Config/ai.php
config:ai-chat-pro-google-drive,2,1,no,04_AI_AUTHORING_STUDIO/ai-chat-pro-google-drive,donor:04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-google-drive/System\Drive\DriveClientFactory.php | donor:04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-google-drive/System\OAuth\GoogleDriveOAuth.php
config:aicaptions,4,1,no,05_MEDIA_AND_LEARNING_CONTENT/ai-captions,donor:05_MEDIA_AND_LEARNING_CONTENT/Additional_High_Value/ai-captions/System\Http\Controllers\AiCaptionsController.php | donor:05_MEDIA_AND_LEARNING_CONTENT/Additional_High_Value/ai-captions/System\Services\CaptionsApiService.php | donor:05_MEDIA_AND_LEARNING_CONTENT/Additional_High_Value/ai-captions/resources\views\partials\credit-list-row.blade.php | donor:05_MEDIA_AND_LEARNING_CONTENT/Additional_High_Value/ai-captions/resources\views\settings\index.blade.php
config:app,60,14,yes,04_AI_AUTHORING_STUDIO/model-council | 05_MEDIA_AND_LEARNING_CONTENT/video-editor | 06_WORKFORCE_AND_ONBOARDING/HRCore | 06_WORKFORCE_AND_ONBOARDING/Recruitment | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/compliance-auditing | 09_PROPERTY_JOBS_AND_DISPATCH/Dispatch | 11_AUDIT_INTEGRATIONS_AND_RECOVERY/RestAPI | 13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | Interaction Engine | MagicAI + WorkCore host | Titan Train v0.7.0 | Titan Zero Chatbot PWA,donor:04_AI_AUTHORING_STUDIO/Base_App_System_Extensions/model-council/System\Services\ModelCouncilService.php | donor:05_MEDIA_AND_LEARNING_CONTENT/Marketing_and_Creative_Extensions/video-editor/System\Http\Controllers\VideoEditorProjectController.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Resources/views/expenses/my-create.blade.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Resources/views/expenses/my-edit.blade.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/app/Http/Controllers/EmployeeController.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/resources/views/expenses/my-create.blade.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/resources/views/expenses/my-edit.blade.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/Recruitment/Recruitment/Resources/views/layouts/footer.blade.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Providers/CleanQualityServiceProvider.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Providers/QualityControlServiceProvider.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/compliance-auditing/compliance-auditing/AuditLog/resources/views/layouts/master.blade.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/Dispatch/Dispatch/Config/config.php | donor:11_AUDIT_INTEGRATIONS_AND_RECOVERY/Modules_for_Titan_BOS/RestAPI/RestAPI/Config/config.php | donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Intelligence/Evidence/DatabaseEvidenceStore.php | donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Intelligence/Providers/WorkCoreIntelligenceServiceProvider.php | donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Premises/Services/PortalAccessService.php | donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Verticals/CompanyVerticalProfileResolver.php | donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Services/Ai/OpenAI/Image/CreateImageEditService.php | donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Services/Assistant/AssistantService.php | donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Support/Chatbot/ChatbotHelper.php | donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/config/app.php | donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/config/l5-swagger.php | donor:02_GUIDED_INTERACTION_RUNTIME/Interaction_Engine/config/interaction.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/app/Services/AIAssistantService.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/config/app.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/database/migrations/2026_07_25_000001_create_titan_foundation_tables.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/database/seeders/UserSeeder.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/resources/views/layouts/app.blade.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/resources/views/layouts/guest.blade.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/resources/views/login.blade.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/tests/Feature/Foundation/CompanyTenancyTest.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/Http/Middleware/ResolveWorkCoreContext.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/features/shared-chat/System/Http/Controllers/ShareController.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/model-routing/model-council/System/Services/ModelCouncilService.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/model-routing/providers/openrouter/System/Services/RouterAiService.php | host:app/Domains/Marketplace/Repositories/ExtensionRepository.php | host:app/Domains/WorkCore/System/Intelligence/Evidence/DatabaseEvidenceStore.php | host:app/Domains/WorkCore/System/Intelligence/Providers/WorkCoreIntelligenceServiceProvider.php | host:app/Domains/WorkCore/System/Modules/Premises/Services/PortalAccessService.php | host:app/Domains/WorkCore/System/Verticals/CompanyVerticalProfileResolver.php | host:app/Helpers/Classes/Helper.php | host:app/Http/Controllers/AdvancedImageController.php | host:app/Http/Controllers/Auth/Google2FAController.php | host:app/Http/Controllers/Common/SitemapController.php | host:app/Http/Controllers/Common/SystemSlotController.php | host:app/Http/Controllers/Integration/IntegrationController.php | host:app/Livewire/Admin/Finance/Plan/SubscriptionPlanCreate.php | host:app/Livewire/ChatbotCode.php | host:app/Services/Ai/OpenAI/Image/CreateImageEditService.php | host:app/Services/Assistant/AssistantService.php | host:app/Services/Common/MenuService.php | host:app/Support/Chatbot/ChatbotHelper.php | host:app/Support/Vite.php | host:config/app.php | host:config/l5-swagger.php | host:packages/rachidlaasri/laravel-installer/src/Repositories/ApplicationStatusRepository.php | host:resources/views/default/panel/admin/health/index.blade.php | host:resources/views/default/panel/chatbot/widget.blade.php | host:resources/views/default/panel/user/finance/prepaid/stripe.blade.php | host:resources/views/default/panel/user/finance/subscription/stripe.blade.php
config:auth,4,4,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host | Titan Train v0.7.0 | Titan Zero Chatbot PWA,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/config/auth.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/config/auth.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/workcore-runtime/native-runtime/app/Domains/WorkCore/System/Authorization/LaravelPermissionResolver.php | host:config/auth.php
config:billing,2,2,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs | 09_PROPERTY_JOBS_AND_DISPATCH/Dispatch,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Config/billing.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/Dispatch/Dispatch/Config/billing.php
config:broadcasting,5,3,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host | Titan Train v0.7.0,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/config/broadcasting.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/config/broadcasting.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/resources/views/chat.blade.php | host:config/broadcasting.php | host:resources/views/default/panel/layout/partials/head.blade.php
config:cache,5,4,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host | Titan Train v0.7.0 | Titan Zero Chatbot PWA,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/config/cache.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/config/cache.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/skills/System/Services/SkillCacheService.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/skills/System/Services/SkillToolCacheManager.php | host:config/cache.php
config:cashier,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/config/cashier.php | host:config/cashier.php
