symbol,occurrences,distinct_components,host_present,components,files
App\Domains\Engine\EngineServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/Engine/EngineServiceProvider.php | host:app/Domains/Engine/EngineServiceProvider.php
App\Domains\WorkCore\Providers\BusinessNetworkServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/Providers/BusinessNetworkServiceProvider.php | host:app/Domains/WorkCore/Providers/BusinessNetworkServiceProvider.php
App\Domains\WorkCore\Providers\CommercialServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/Providers/CommercialServiceProvider.php | host:app/Domains/WorkCore/Providers/CommercialServiceProvider.php
App\Domains\WorkCore\Providers\PropertyOperationsServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/Providers/PropertyOperationsServiceProvider.php | host:app/Domains/WorkCore/Providers/PropertyOperationsServiceProvider.php
App\Domains\WorkCore\Providers\WorkOperationsServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/Providers/WorkOperationsServiceProvider.php | host:app/Domains/WorkCore/Providers/WorkOperationsServiceProvider.php
App\Domains\WorkCore\Providers\WorkforceAssuranceServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/Providers/WorkforceAssuranceServiceProvider.php | host:app/Domains/WorkCore/Providers/WorkforceAssuranceServiceProvider.php
App\Domains\WorkCore\System\AI\Providers\WorkCoreAIServiceProvider,3,3,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host | Titan Zero Chatbot PWA,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/AI/Providers/WorkCoreAIServiceProvider.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/workcore-runtime/native-runtime/app/Domains/WorkCore/System/AI/Providers/WorkCoreAIServiceProvider.php | host:app/Domains/WorkCore/System/AI/Providers/WorkCoreAIServiceProvider.php
App\Domains\WorkCore\System\Expansion\Providers\WorkExpansionServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Expansion/Providers/WorkExpansionServiceProvider.php | host:app/Domains/WorkCore/System/Expansion/Providers/WorkExpansionServiceProvider.php
App\Domains\WorkCore\System\Intelligence\Providers\WorkCoreIntelligenceServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Intelligence/Providers/WorkCoreIntelligenceServiceProvider.php | host:app/Domains/WorkCore/System/Intelligence/Providers/WorkCoreIntelligenceServiceProvider.php
App\Domains\WorkCore\System\Modules\Assets\Providers\WorkAssetsServiceProvider,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Assets/Providers/WorkAssetsServiceProvider.php | host:app/Domains/WorkCore/System/Modules/Assets/Providers/WorkAssetsServiceProvider.php
