donor,source_path,archive_path,classification,reason,bytes,sha256
AppForge,package.json,01_APPFORGE/build_and_dependency_reference/package.json,REFERENCE,"Original build/dependency configuration; inspect and adapt, do not install unchanged.",3350,29f8d218fb93b588ff03001783bdf0114545f4572ff323ba98b6e77c260e319b
AppForge,vite.config.ts,01_APPFORGE/build_and_dependency_reference/vite.config.ts,REFERENCE,"Original build/dependency configuration; inspect and adapt, do not install unchanged.",2129,1f2abdfc34b82d4575bfb5e2cd7e57392cdb8b16acc46dcd57a0bc1884d27d98
AppForge,tailwind.config.ts,01_APPFORGE/build_and_dependency_reference/tailwind.config.ts,REFERENCE,"Original build/dependency configuration; inspect and adapt, do not install unchanged.",4525,a0f9cded48d7521c833159fbb305fb191589033c75b721be1af315141d7a572b
AppForge,tsconfig.json,01_APPFORGE/build_and_dependency_reference/tsconfig.json,REFERENCE,"Original build/dependency configuration; inspect and adapt, do not install unchanged.",396,406e63e666958bb699aae6562e561a0cec963ee3dfe771c644ace7d97304974f
AppForge,tsconfig.app.json,01_APPFORGE/build_and_dependency_reference/tsconfig.app.json,REFERENCE,"Original build/dependency configuration; inspect and adapt, do not install unchanged.",635,b358b1b595f2c31d2d4461046fa57ae416283072909bcfa13feb14d41124978c
AppForge,tsconfig.node.json,01_APPFORGE/build_and_dependency_reference/tsconfig.node.json,REFERENCE,"Original build/dependency configuration; inspect and adapt, do not install unchanged.",481,a96b9ba5e40d95b92adf56431fdf9cbe25b5c2557621f0666615bff6889dfc50
AppForge,components.json,01_APPFORGE/build_and_dependency_reference/components.json,REFERENCE,"Original build/dependency configuration; inspect and adapt, do not install unchanged.",414,9820835141c54e5b5dfbb68b3c3790db73c9ebfb967884ae3fccd058d698a1a6
AppForge,capacitor.config.ts,01_APPFORGE/build_and_dependency_reference/capacitor.config.ts,REFERENCE,"Original build/dependency configuration; inspect and adapt, do not install unchanged.",319,d76191a93b131130bfb1c87d942555713c7d765602986280c699060598e0e231
AppForge,codemagic.yaml,01_APPFORGE/build_and_dependency_reference/codemagic.yaml,REFERENCE,"Original build/dependency configuration; inspect and adapt, do not install unchanged.",13302,937c6e57ef82e4728f17ff637f05a80f3641b0b7249d7ea3cdf03ffe411b883e
AppForge,src/components/builder/AIAssistant.tsx,01_APPFORGE/adapt_required/src/components/builder/AIAssistant.tsx,ADAPT,Useful assistant UI pattern but directly coupled to donor AI/Supabase authority.,26430,1d6e371078dd96bbdfec595cb527690e3c29b904c066b4f2fea8d78befdfaddd
AppForge,src/components/builder/AppetizePreview.tsx,01_APPFORGE/reuse_candidates/src/components/builder/AppetizePreview.tsx,REUSE_CANDIDATE,"Builder, preview, branding, navigation, build-status, or asset UI candidate.",8094,1d266ac971849128c2fedecc1d9e6334b99c5dc0f8a15b3bd3f57b8b8e55fc67
AppForge,src/components/builder/AppleIcon.tsx,01_APPFORGE/reuse_candidates/src/components/builder/AppleIcon.tsx,REUSE_CANDIDATE,"Builder, preview, branding, navigation, build-status, or asset UI candidate.",724,6edfc71049dc61dcb59843d9d09af0934d5229b3d2346e8ddfb716a0eb4f1777
